name	code	sink_below	lst_date	lot_size	mkt_cap	off_price	lst_price	over_sub_rate	one_lot	one_lot_suc_rate	last	first_per	acc_per
樂思集團	02540.HK	0	2024/03/08	2,500	36.40	1.1	1.100	21.4	1	1.0	1.820	0.3636	0.6545
經緯天地	02477.HK	0	2024/01/12	4,000	23.60	1	1.000	27.6	10	0.2	4.000	1.64	3.0
美中嘉和	02453.HK	0	2024/01/09	200	393.99	14.28	14.280	1.0	1	1.0	15.320	-0.2241	0.0728
中深建業	02503.HK	1	2024/01/09	4,000	7.72	1	1.000	57.4	1	1.0	0.610	-0.28	-0.39
長久股份	06959.HK	1	2024/01/09	500	217.87	5.95	5.950	10.7	8	0.201	4.640	0.1613	-0.2202
速騰聚創	02498.HK	1	2024/01/05	100	620.04	43	43.000	-1	1	1.0	16.980	0.0	-0.6051
優必選	09880.HK	0	2023/12/29	50	1,371.51	90	90.000	4.2	4	0.4	103.300	0.0094	0.1478
貝克微	02149.HK	0	2023/12/28	100	19.80	27.47	27.470	0.3	1	1.0	30.000	-0.1736	0.0921
集海資源	02489.HK	0	2023/12/22	5,000	20.00	0.55	0.550	7.8	9	0.6	0.810	0.0182	0.4727
君聖泰醫藥－Ｂ	02511.HK	1	2023/12/22	500	67.85	11.5	11.500	31.2	9	0.137	1.040	0.0765	-0.9096
泛遠國際	02516.HK	0	2023/12/22	4,000	13.10	0.9	0.900	13.5	20	0.077	1.290	0.1111	0.4333
瀾滄古茶	06911.HK	1	2023/12/22	200	9.29	10.7	10.700	12.2	10	0.2	5.200	-0.1869	-0.514
知行汽車科技	01274.HK	1	2023/12/20	100	261.64	29.65	29.650	5.5	1	1.0	21.950	-0.1282	-0.2597
金源氫化	02502.HK	1	2023/12/20	2,000	10.42	1.2	1.200	41.8	7	0.68	0.540	-0.275	-0.55
瑞浦蘭鈞	00666.HK	1	2023/12/18	200	545.31	18.3	18.300	0.3	1	1.0	14.800	0.0262	-0.1913
燕之屋	01497.HK	0	2023/12/12	400	71.41	9.7	9.700	82.6	25	0.06	10.700	0.0	0.1031
德康農牧	02419.HK	1	2023/12/06	100	241.10	36.95	36.950	0.9	1	1.0	36.800	0.0149	-0.0041
Ｋ　ＣＡＳＨ集團	02483.HK	1	2023/12/05	2,000	10.25	1.8	1.800	17.5	1	1.0	1.760	-0.0056	-0.0222
升輝清潔	02521.HK	0	2023/12/05	7,500	13.81	0.32	0.320	32.2	1	1.0	0.370	0.0312	0.1562
國鴻氫能	09663.HK	1	2023/12/05	500	137.02	19.66	19.660	0.2	1	1.0	18.500	0.0071	-0.059
山西安裝	02520.HK	1	2023/11/22	2,000	34.61	2.18	2.180	-1	1	1.0	2.100	0.0	-0.0367
藥明合聯	02268.HK	0	2023/11/17	500	407.19	20.6	20.600	49.0	8	0.13	26.400	0.3592	0.2816
華視集團控股	01111.HK	1	2023/11/10	4,000	18.42	1.04	1.040	11.6	20	0.106	0.345	0.5577	-0.6683
佛朗斯股份	02499.HK	1	2023/11/10	200	54.36	14.28	14.280	6.8	9	0.2	8.900	0.0336	-0.3767
喜相逢集團	02473.HK	0	2023/11/09	2,500	96.42	1.1	1.100	13.7	18	0.068	15.980	0.4909	13.5273
友寶在線	02429.HK	1	2023/11/03	500	229.27	10.35	10.350	10.3	12	0.15	4.200	0.4087	-0.5942
鍋圈	02517.HK	1	2023/11/02	400	339.02	5.98	5.980	3.3	6	0.19	2.110	0.0	-0.6472
極兔速遞－Ｗ	01519.HK	1	2023/10/27	200	1,457.53	12	12.000	0.4	1	1.0	5.910	0.0	-0.5075
綠源集團控股	02451.HK	1	2023/10/12	500	34.35	7.37	7.370	6.7	4	0.8	6.150	0.0095	-0.1655
十月稻田	09676.HK	1	2023/10/12	300	1,068.15	15.36	15.360	0.3	1	1.0	7.500	0.2266	-0.5117
邁越科技	02501.HK	1	2023/10/11	2,000	8.50	1.18	1.180	1.5	1	1.0	0.830	0.3814	-0.2966
天圖投資	01973.HK	1	2023/10/06	400	47.13	6.5	6.500	-1	1	1.0	2.750	-0.2492	-0.5769
永聯豐控股	09882.HK	0	2023/09/29	5,000	-1	-1	-1	-1	-1	-1	0.850	0.0407	-0.6852
第四範式	06682.HK	1	2023/09/28	100	535.74	55.6	55.600	10.4	20	0.5	43.800	0.0522	-0.2122
熙康雲醫院	09686.HK	1	2023/09/28	500	31.15	4.76	4.760	-1	1	1.0	0.680	-0.4286	-0.8571
中旭未來	09890.HK	1	2023/09/28	200	387.20	14	14.000	103.0	7	0.5	7.080	0.0	-0.4943
途虎－Ｗ	09690.HK	1	2023/09/26	100	308.72	28	28.000	1.7	1	1.0	23.050	0.0536	-0.1768
樂艙物流	02490.HK	0	2023/09/25	1,000	101.48	5.13	5.130	3.8	7	0.3	21.400	-0.0058	3.1715
友芝友生物－Ｂ	02496.HK	1	2023/09/25	200	38.38	16	16.000	12.8	30	0.18	4.700	0.0	-0.7063
宜明昂科－Ｂ	01541.HK	1	2023/09/05	200	120.29	18.6	18.600	9.0	10	0.116	8.420	0.0495	-0.5473
眾安智慧生活	02271.HK	1	2023/07/18	2,000	7.40	1.18	1.180	0.8	3	0.5	1.130	0.0254	-0.0424
新傳企劃	01284.HK	1	2023/07/17	5,000	7.32	0.92	0.920	43.0	80	0.3	0.345	0.0109	-0.625
巨星傳奇	06683.HK	0	2023/07/13	500	105.53	4.25	4.250	12.0	7	0.3	5.230	0.2376	0.2306
KEEP	03650.HK	1	2023/07/12	100	222.88	28.92	28.920	2.1	3	0.4	5.960	0.0028	-0.7939
科倫博泰生物－Ｂ	06990.HK	0	2023/07/11	100	490.56	60.6	60.600	0.3	2	0.75	172.100	0.0314	1.8399
