
盛禾生物－Ｂ	02898.HK	跌穿上市價	2024/05/24	200	6.58-24.16	13.5	13.500	9.1	15手	7.8%	4.660	+7.560%	-65.481%
泓盈城市服務	02529.HK	跌穿上市價	2024/05/17	1,000	3.36-5.45	3.2	3.200	46.6	15手	80.0%	3.050	+0.310%	-4.688%
邁富時	02556.HK		2024/05/16	100	105.82-300.07	43.6	43.600	5.0	5手	55.0%	105.000	+18.460%	+140.826%
出門問問	02438.HK	跌穿上市價	2024/04/24	1,000	9.91-65.78	3.8	3.800	116.4	8手	25.0%	0.880	-3.160%	-76.842%
天津建發	02515.HK	跌穿上市價	2024/04/23	2,000	0.71-4.70	2.5	2.500	432.1	70手	10.0%	0.395	-39.200%	-84.200%
茶百道	02555.HK	跌穿上市價	2024/04/23	200	58.81-236.42	17.5	17.500	認購不足	1手	100.0%	9.100	-26.860%	-48.000%
富景中國控股	02497.HK	跌穿上市價	2024/03/28	2,000	4.45-12.00	1.08	1.080	293.1	400手	10.0%	1.000	+37.040%	-7.407%
連連數字	02598.HK	跌穿上市價	2024/03/28	500	91.11-116.49	10.22	10.220	15.9	1手	100.0%	9.340	-7.630%	-8.611%
百樂皇宮	02536.HK		2024/03/26	1,000	22.02-57.99	2.6	2.600	15.0	1手	100.0%	4.200	+15.380%	+61.538%
米高集團	09879.HK		2024/03/21	1,000	36.36-77.44	4.08	4.080	8.8	6手	30.0%	6.580	+0.250%	+61.275%
荃信生物－Ｂ	02509.HK	跌穿上市價	2024/03/20	200	18.81-68.73	19.8	19.800	162.2	100手	5.0%	8.890	+23.740%	-55.101%
泓基集團	02535.HK		2024/03/08	10,000	9.60-18.60	0.25	0.250	69.5	40手	2.6%	0.620	+136.000%	+148.000%
樂思集團	02540.HK		2024/03/08	2,500	4.50-36.40	1.1	1.100	21.4	1手	100.0%	1.820	+36.360%	+65.455%
經緯天地	02477.HK		2024/01/12	4,000	8.50-23.60	1	1.000	27.6	10手	20.0%	4.000	+164.000%	+300.000%
美中嘉和	02453.HK		2024/01/09	200	69.48-393.99	14.28	14.280	1.0	1手	100.0%	15.320	-22.410%	+7.283%
中深建業	02503.HK	跌穿上市價	2024/01/09	4,000	2.73-7.72	1	1.000	57.4	1手	100.0%	0.610	-28.000%	-39.000%
長久股份	06959.HK	跌穿上市價	2024/01/09	500	9.12-217.87	5.95	5.950	10.7	8手	20.1%	4.640	+16.130%	-22.017%
速騰聚創	02498.HK	跌穿上市價	2024/01/05	100	48.79-620.04	43	43.000	認購不足	1手	100.0%	16.980	0.000%	-60.512%
優必選	09880.HK		2023/12/29	50	291.86-1,371.51	90	90.000	4.2	4手	40.0%	103.300	+0.940%	+14.778%
貝克微	02149.HK		2023/12/28	100	10.90-19.80	27.47	27.470	0.3	1手	100.0%	30.000	-17.360%	+9.210%
集海資源	02489.HK		2023/12/22	5,000	1.68-20.00	0.55	0.550	7.8	9手	60.0%	0.810	+1.820%	+47.273%
君聖泰醫藥－Ｂ	02511.HK	跌穿上市價	2023/12/22	500	3.71-67.85	11.5	11.500	31.2	9手	13.7%	1.040	+7.650%	-90.957%
泛遠國際	02516.HK		2023/12/22	4,000	0.78-13.10	0.9	0.900	13.5	20手	7.7%	1.290	+11.110%	+43.333%
瀾滄古茶	06911.HK	跌穿上市價	2023/12/22	200	3.03-9.29	10.7	10.700	12.2	10手	20.0%	5.200	-18.690%	-51.402%
知行汽車科技	01274.HK	跌穿上市價	2023/12/20	100	42.82-261.64	29.65	29.650	5.5	1手	100.0%	21.950	-12.820%	-25.970%
金源氫化	02502.HK	跌穿上市價	2023/12/20	2,000	4.73-10.42	1.2	1.200	41.8	7手	68.0%	0.540	-27.500%	-55.000%
瑞浦蘭鈞	00666.HK	跌穿上市價	2023/12/18	200	264.12-545.31	18.3	18.300	0.3	1手	100.0%	14.800	+2.620%	-19.126%
燕之屋	01497.HK		2023/12/12	400	31.89-71.41	9.7	9.700	82.6	25手	6.0%	10.700	0.000%	+10.309%
德康農牧	02419.HK	跌穿上市價	2023/12/06	100	128.72-241.10	36.95	36.950	0.9	1手	100.0%	36.800	+1.490%	-0.406%
Ｋ　ＣＡＳＨ集團	02483.HK	跌穿上市價	2023/12/05	2,000	7.75-10.25	1.8	1.800	17.5	1手	100.0%	1.760	-0.560%	-2.222%
升輝清潔	02521.HK		2023/12/05	7,500	3.27-13.81	0.32	0.320	32.2	1手	100.0%	0.370	+3.120%	+15.625%
國鴻氫能	09663.HK	跌穿上市價	2023/12/05	500	51.75-137.02	19.66	19.660	0.2	1手	100.0%	18.500	+0.710%	-5.900%
山西安裝	02520.HK	跌穿上市價	2023/11/22	2,000	15.66-34.61	2.18	2.180	認購不足	1手	100.0%	2.100	0.000%	-3.670%
藥明合聯	02268.HK		2023/11/17	500	144.67-407.19	20.6	20.600	49.0	8手	13.0%	26.400	+35.920%	+28.155%
