name,code,sink_below,lst_date,lot_size,mkt_cap,off_price,lst_price,over_sub_rate,one_lot,one_lot_suc_rate,last,first_per,acc_per
-99,-99,1,-99,100,261.64,29.65,29.650,5.5,1,1.0,21.950,-0.1282,-0.2597
-99,-99,1,-99,2000,10.42,1.2,1.200,41.8,7,0.68,0.540,-0.275,-0.55
-99,-99,1,-99,200,545.31,18.3,18.300,0.3,1,1.0,14.800,0.0262,-0.1913
-99,-99,0,-99,400,71.41,9.7,9.700,82.6,25,0.06,10.700,0.0,0.1031
-99,-99,1,-99,100,241.10,36.95,36.950,0.9,1,1.0,36.800,0.0149,-0.0041
-99,-99,1,-99,2000,10.25,1.8,1.800,17.5,1,1.0,1.760,-0.0056,-0.0222
-99,-99,0,-99,7500,13.81,0.32,0.320,32.2,1,1.0,0.370,0.0312,0.1562
-99,-99,1,-99,500,137.02,19.66,19.660,0.2,1,1.0,18.500,0.0071,-0.059
-99,-99,1,-99,2000,34.61,2.18,2.180,-1,1,1.0,2.100,0.0,-0.0367
-99,-99,0,-99,500,407.19,20.6,20.600,49.0,8,0.13,26.400,0.3592,0.2816
-99,-99,1,-99,4000,18.42,1.04,1.040,11.6,20,0.106,0.345,0.5577,-0.6683
-99,-99,1,-99,200,54.36,14.28,14.280,6.8,9,0.2,8.900,0.0336,-0.3767
-99,-99,0,-99,2500,96.42,1.1,1.100,13.7,18,0.068,15.980,0.4909,13.5273
-99,-99,1,-99,500,229.27,10.35,10.350,10.3,12,0.15,4.200,0.4087,-0.5942
-99,-99,1,-99,400,339.02,5.98,5.980,3.3,6,0.19,2.110,0.0,-0.6472
-99,-99,1,-99,200,1457.53,12,12.000,0.4,1,1.0,5.910,0.0,-0.5075
-99,-99,1,-99,500,34.35,7.37,7.370,6.7,4,0.8,6.150,0.0095,-0.1655
-99,-99,1,-99,300,1068.15,15.36,15.360,0.3,1,1.0,7.500,0.2266,-0.5117
-99,-99,1,-99,2000,8.50,1.18,1.180,1.5,1,1.0,0.830,0.3814,-0.2966
-99,-99,1,-99,400,47.13,6.5,6.500,-1,1,1.0,2.750,-0.2492,-0.5769
-99,-99,0,-99,5000,-1,-1,-1,-1,-1,-1,0.850,0.0407,-0.6852
-99,-99,1,-99,100,535.74,55.6,55.600,10.4,20,0.5,43.800,0.0522,-0.2122
-99,-99,1,-99,500,31.15,4.76,4.760,-1,1,1.0,0.680,-0.4286,-0.8571
-99,-99,1,-99,200,387.20,14,14.000,103.0,7,0.5,7.080,0.0,-0.4943
-99,-99,1,-99,100,308.72,28,28.000,1.7,1,1.0,23.050,0.0536,-0.1768
-99,-99,0,-99,1000,101.48,5.13,5.130,3.8,7,0.3,21.400,-0.0058,3.1715
-99,-99,1,-99,200,38.38,16,16.000,12.8,30,0.18,4.700,0.0,-0.7063
-99,-99,1,-99,200,120.29,18.6,18.600,9.0,10,0.116,8.420,0.0495,-0.5473
-99,-99,1,-99,2000,7.40,1.18,1.180,0.8,3,0.5,1.130,0.0254,-0.0424
-99,-99,1,-99,5000,7.32,0.92,0.920,43.0,80,0.3,0.345,0.0109,-0.625
-99,-99,0,-99,500,105.53,4.25,4.250,12.0,7,0.3,5.230,0.2376,0.2306
-99,-99,1,-99,100,222.88,28.92,28.920,2.1,3,0.4,5.960,0.0028,-0.7939
-99,-99,0,-99,100,490.56,60.6,60.600,0.3,2,0.75,172.100,0.0314,1.8399
-99,-99,1,-99,1000,10.92,3.6,3.600,0.5,1,1.0,2.790,0.0,-0.225
-99,-99,1,-99,500,139.51,12.32,12.320,0.1,1,1.0,6.530,0.1201,-0.47
-99,-99,0,-99,500,103.18,12.41,12.410,4.8,5,0.223,15.720,0.2087,0.2667
-99,-99,1,-99,200,408.79,20,20.000,4.6,6,0.3,6.330,0.055,-0.6835
-99,-99,0,-99,8000,-1,-1,-1,-1,-1,-1,0.600,-1,-1
-99,-99,1,-99,200,99.11,21.85,21.850,0.4,1,1.0,8.390,0.0046,-0.616
-99,-99,1,-99,500,90.62,10.19,10.190,-1,1,1.0,1.870,-0.0304,-0.8165
-99,-99,1,-99,1000,157.62,4.52,4.520,-1,1,1.0,1.520,-0.2898,-0.6637
-99,-99,0,-99,4000,-1,-1,-1,-1,-1,-1,0.410,-1,-1
-99,-99,1,-99,200,13.20,10.6,10.600,1.2,1,1.0,7.830,-0.2462,-0.2613
-99,-99,1,-99,2000,10.61,1.28,1.280,16.3,9,0.111,1.070,-0.2344,-0.1641
-99,-99,1,-99,200,85.03,32.8,32.800,2.3,6,0.5,20.950,-0.3293,-0.3613
-99,-99,1,-99,250,81.73,9.1,9.100,8.9,8,0.2,0.780,0.011,-0.9143
-99,-99,1,-99,200,431.16,10.82,10.820,0.9,1,1.0,6.580,-0.1793,-0.3919
-99,-99,0,-99,100,-1,-1,-1,-1,-1,-1,9.600,-1,-1
-99,-99,1,-99,200,213.16,29.7,29.700,15.6,8,0.25,4.180,-0.1212,-0.8593
-99,-99,0,-99,4000,58.16,0.7,0.700,12.5,20,0.25,2.370,0.2,2.3857
-99,-99,1,-99,2000,29.30,1.05,1.050,5.3,1,1.0,0.250,-0.3524,-0.7619
-99,-99,1,-99,2000,15.36,1.18,1.180,9.6,9,0.4,0.143,1.2627,-0.8788
-99,-99,0,-99,1000,21.50,3.27,3.270,0.1,1,1.0,4.090,-0.211,0.2508
-99,-99,0,-99,100,106.58,46,46.000,-1,1,1.0,73.200,-0.0011,0.5913
-99,-99,0,-99,2000,-1,-1,-1,-1,-1,-1,0.610,-1,-1
-99,-99,0,-99,500,137.96,17,17.000,1.6,1,1.0,27.600,0.0082,0.6235
-99,-99,1,-99,1000,41.12,2.9,2.900,22.1,8,0.3,0.850,-0.0207,-0.7069
-99,-99,1,-99,1500,4.22,1.91,1.910,11.3,6,0.3,1.620,-0.445,-0.1518
-99,-99,1,-99,3000,71.93,4.08,4.080,27.7,40,0.5,0.660,0.4779,-0.8382
-99,-99,1,-99,2000,4.41,1.7,1.700,7.7,15,0.2,0.550,-0.2588,-0.6765
-99,-99,1,-99,2000,231.00,1.6,1.600,8.9,15,0.077,0.260,0.1125,-0.8375
-99,-99,1,-99,500,77.86,19.32,19.320,21.1,2,0.55,17.200,0.5347,-0.1097
-99,-99,1,-99,500,113.10,5.6,5.600,11.2,16,0.2,1.290,0.0714,-0.7696
-99,-99,1,-99,400,10.29,6.5,6.500,2.4,3,0.5,4.000,-0.1154,-0.3846
-99,-99,1,-99,4000,23.20,0.68,0.680,17.3,1,1.0,0.044,-0.1765,-0.9353
-99,-99,1,-99,50,42.21,60,60.000,-1,1,1.0,21.850,0.0,-0.6358
-99,-99,1,-99,500,315.44,9.9,9.900,32.9,16,0.076,2.710,0.1212,-0.7263
-99,-99,1,-99,1000,44.69,6.4,6.400,1.1,2,0.7,1.040,0.0,-0.8375
-99,-99,0,-99,2000,-1,-1,-1,-1,-1,-1,3.130,-1,-1
